--- OpenAI-ES Training Log for Bypass=True ---
Gen 62 (ES) | Pop: 128 | Sigma: 0.179 | Time: 7.66s | Cur: 1389.82W (S:26.25%) | Std: 11122.28 | Best: 1361.45W
Gen 63 (ES) | Pop: 128 | Sigma: 0.183 | Time: 8.05s | Cur: 1389.82W (S:26.67%) | Std: 10925.24 | Best: 1361.45W
Gen 64 (ES) | Pop: 128 | Sigma: 0.186 | Time: 7.86s | Cur: 1389.82W (S:27.92%) | Std: 10216.96 | Best: 1361.45W
Gen 65 (ES) | Pop: 128 | Sigma: 0.190 | Time: 7.74s | Cur: 1361.45W (S:25.42%) | Std: 10916.31 | Best: 1361.45W
Gen 66 (ES) | Pop: 128 | Sigma: 0.194 | Time: 7.88s | Cur: 1361.45W (S:25.00%) | Std: 10841.35 | Best: 1361.45W
Gen 67 (ES) | Pop: 128 | Sigma: 0.198 | Time: 7.93s | Cur: 1418.18W (S:26.67%) | Std: 11641.94 | Best: 1361.45W
Gen 68 (ES) | Pop: 128 | Sigma: 0.202 | Time: 7.62s | Cur: 1418.18W (S:27.08%) | Std: 11458.68 | Best: 1361.45W
Gen 69 (ES) | Pop: 128 | Sigma: 0.206 | Time: 7.72s | Cur: 1389.82W (S:25.00%) | Std: 11704.31 | Best: 1361.45W
Gen 70 (ES) | Pop: 128 | Sigma: 0.210 | Time: 7.69s | Cur: 1418.18W (S:26.25%) | Std: 10022.13 | Best: 1361.45W
Gen 71 (ES) | Pop: 128 | Sigma: 0.214 | Time: 8.13s | Cur: 1361.45W (S:23.75%) | Std: 11869.38 | Best: 1361.45W
Gen 72 (ES) | Pop: 128 | Sigma: 0.212 | Time: 7.57s | Cur: 1389.82W (S:25.42%) | Std: 10472.15 | Best: 1361.45W
Gen 73 (ES) | Pop: 128 | Sigma: 0.216 | Time: 8.28s | Cur: 1418.18W (S:25.83%) | Std: 9470.03 | Best: 1361.45W
Gen 74 (ES) | Pop: 128 | Sigma: 0.220 | Time: 7.81s | Cur: 1361.45W (S:23.33%) | Std: 12248.38 | Best: 1361.45W
Gen 75 (ES) | Pop: 128 | Sigma: 0.218 | Time: 8.02s | Cur: 1418.18W (S:26.25%) | Std: 10247.17 | Best: 1361.45W
Gen 76 (ES) | Pop: 128 | Sigma: 0.223 | Time: 7.82s | Cur: 1418.18W (S:25.83%) | Std: 10009.84 | Best: 1361.45W
Gen 77 (ES) | Pop: 128 | Sigma: 0.227 | Time: 7.74s | Cur: 1389.82W (S:24.17%) | Std: 10581.00 | Best: 1361.45W
Gen 78 (ES) | Pop: 128 | Sigma: 0.232 | Time: 7.81s | Cur: 1389.82W (S:26.67%) | Std: 11013.60 | Best: 1361.45W
Gen 79 (ES) | Pop: 128 | Sigma: 0.236 | Time: 7.89s | Cur: 1418.18W (S:23.75%) | Std: 10460.21 | Best: 1361.45W
Gen 80 (ES) | Pop: 128 | Sigma: 0.241 | Time: 7.66s | Cur: 1333.09W (S:24.17%) | Std: 10200.74 | Best: 1333.09W
Gen 81 (ES) | Pop: 128 | Sigma: 0.236 | Time: 7.98s | Cur: 1389.82W (S:26.67%) | Std: 10633.55 | Best: 1333.09W
Gen 82 (ES) | Pop: 128 | Sigma: 0.241 | Time: 7.59s | Cur: 1389.82W (S:25.83%) | Std: 9614.45 | Best: 1333.09W
Gen 83 (ES) | Pop: 128 | Sigma: 0.245 | Time: 7.66s | Cur: 1389.82W (S:30.83%) | Std: 9877.64 | Best: 1333.09W
Gen 84 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.87s | Cur: 1418.18W (S:23.33%) | Std: 10271.63 | Best: 1333.09W
Gen 85 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.59s | Cur: 1389.82W (S:22.50%) | Std: 10064.82 | Best: 1333.09W
Gen 86 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.64s | Cur: 1361.45W (S:22.92%) | Std: 10367.37 | Best: 1333.09W
Gen 87 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.71s | Cur: 1304.73W (S:22.08%) | Std: 11741.18 | Best: 1304.73W
Gen 88 (ES) | Pop: 128 | Sigma: 0.245 | Time: 7.62s | Cur: 1389.82W (S:24.17%) | Std: 11059.14 | Best: 1304.73W
Gen 89 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.55s | Cur: 1361.45W (S:24.17%) | Std: 9728.69 | Best: 1304.73W
Gen 90 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.68s | Cur: 1361.45W (S:25.42%) | Std: 10028.18 | Best: 1304.73W
Gen 91 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.62s | Cur: 1361.45W (S:24.17%) | Std: 9710.32 | Best: 1304.73W
Gen 92 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.55s | Cur: 1418.18W (S:22.92%) | Std: 9540.44 | Best: 1304.73W
Gen 93 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.61s | Cur: 1361.45W (S:25.42%) | Std: 9711.10 | Best: 1304.73W
Gen 94 (ES) | Pop: 128 | Sigma: 0.250 | Time: 8.07s | Cur: 1361.45W (S:22.08%) | Std: 7968.64 | Best: 1304.73W
Gen 95 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.75s | Cur: 1389.82W (S:23.33%) | Std: 8768.83 | Best: 1304.73W
Gen 96 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.74s | Cur: 1361.45W (S:23.75%) | Std: 8139.05 | Best: 1304.73W
Gen 97 (ES) | Pop: 128 | Sigma: 0.250 | Time: 7.60s | Cur: 1361.45W (S:27.08%) | Std: 9222.87 | Best: 1304.73W
Gen 98 (ES) | Pop: 128 | Sigma: 0.150 | Time: 8.00s | Cur: 1588.36W (S:26.25%) | Std: 10753.65 | Best: 1304.73W
Gen 99 (ES) | Pop: 128 | Sigma: 0.153 | Time: 7.81s | Cur: 1503.27W (S:26.67%) | Std: 12296.26 | Best: 1304.73W
Gen 100 (ES) | Pop: 128 | Sigma: 0.156 | Time: 7.86s | Cur: 1503.27W (S:27.92%) | Std: 10319.83 | Best: 1304.73W
