--- OpenAI-ES Training Log for Bypass=True ---
Gen 96 (ES) | Pop: 64 | Time: 20.14s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 97 (ES) | Pop: 64 | Time: 20.48s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 98 (ES) | Pop: 64 | Time: 20.59s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 99 (ES) | Pop: 64 | Time: 20.87s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 100 (ES) | Pop: 64 | Time: 20.44s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 101 (ES) | Pop: 64 | Time: 20.08s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 102 (ES) | Pop: 64 | Time: 20.41s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 103 (ES) | Pop: 64 | Time: 20.36s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 104 (ES) | Pop: 64 | Time: 19.96s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 105 (ES) | Pop: 64 | Time: 20.15s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 106 (ES) | Pop: 64 | Time: 20.24s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 107 (ES) | Pop: 64 | Time: 20.39s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 108 (ES) | Pop: 64 | Time: 20.24s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 109 (ES) | Pop: 64 | Time: 20.27s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 110 (ES) | Pop: 64 | Time: 20.24s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 111 (ES) | Pop: 64 | Time: 20.36s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 112 (ES) | Pop: 64 | Time: 20.69s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 113 (ES) | Pop: 64 | Time: 20.49s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 114 (ES) | Pop: 64 | Time: 20.64s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 115 (ES) | Pop: 64 | Time: 22.20s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 116 (ES) | Pop: 64 | Time: 25.64s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 117 (ES) | Pop: 64 | Time: 20.99s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 118 (ES) | Pop: 64 | Time: 20.70s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 119 (ES) | Pop: 64 | Time: 20.35s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 120 (ES) | Pop: 64 | Time: 20.75s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 121 (ES) | Pop: 64 | Time: 21.07s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 122 (ES) | Pop: 64 | Time: 21.16s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 123 (ES) | Pop: 64 | Time: 21.26s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 124 (ES) | Pop: 64 | Time: 21.02s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 125 (ES) | Pop: 64 | Time: 20.73s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 126 (ES) | Pop: 64 | Time: 20.98s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 127 (ES) | Pop: 64 | Time: 21.22s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 128 (ES) | Pop: 64 | Time: 21.04s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 129 (ES) | Pop: 64 | Time: 21.58s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 130 (ES) | Pop: 64 | Time: 21.37s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 131 (ES) | Pop: 64 | Time: 20.81s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 132 (ES) | Pop: 64 | Time: 20.81s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 133 (ES) | Pop: 64 | Time: 20.54s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 134 (ES) | Pop: 64 | Time: 21.37s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 135 (ES) | Pop: 64 | Time: 21.11s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 136 (ES) | Pop: 64 | Time: 21.08s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 137 (ES) | Pop: 64 | Time: 20.94s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
Gen 138 (ES) | Pop: 64 | Time: 20.82s | Cur: 1207.82W (S:20.24%) | Std: 0.00 | Best: 1193.94W
