--- OpenAI-ES Training Log for Bypass=True ---
Gen 68 (ES) | Pop: 128 | Sigma: 0.150 | Time: 32.58s | Cur: 252.92W (S:26.25%) | Std: 31251.69 | Best: 101.17W
Gen 69 (ES) | Pop: 128 | Sigma: 0.153 | Time: 30.41s | Cur: 202.34W (S:22.92%) | Std: 20488.45 | Best: 101.17W
Gen 70 (ES) | Pop: 128 | Sigma: 0.156 | Time: 31.22s | Cur: 151.75W (S:14.17%) | Std: 20464.16 | Best: 101.17W
Gen 71 (ES) | Pop: 128 | Sigma: 0.159 | Time: 30.52s | Cur: 130.07W (S:10.00%) | Std: 35228.46 | Best: 101.17W
Gen 72 (ES) | Pop: 128 | Sigma: 0.162 | Time: 32.82s | Cur: 137.30W (S:9.58%) | Std: 14376.17 | Best: 101.17W
Gen 73 (ES) | Pop: 128 | Sigma: 0.166 | Time: 32.73s | Cur: 187.89W (S:15.00%) | Std: 11131.67 | Best: 101.17W
Gen 74 (ES) | Pop: 128 | Sigma: 0.169 | Time: 32.52s | Cur: 151.75W (S:12.50%) | Std: 4451.93 | Best: 101.17W
Gen 75 (ES) | Pop: 128 | Sigma: 0.172 | Time: 34.03s | Cur: 151.75W (S:15.00%) | Std: 1258.44 | Best: 101.17W
Gen 76 (ES) | Pop: 128 | Sigma: 0.176 | Time: 34.97s | Cur: 130.07W (S:11.67%) | Std: 73.69 | Best: 101.17W
Gen 77 (ES) | Pop: 128 | Sigma: 0.179 | Time: 34.30s | Cur: 122.85W (S:9.58%) | Std: 1774.44 | Best: 101.17W
Gen 78 (ES) | Pop: 128 | Sigma: 0.183 | Time: 33.92s | Cur: 101.17W (S:7.08%) | Std: 74.23 | Best: 101.17W
Gen 79 (ES) | Pop: 128 | Sigma: 0.187 | Time: 34.70s | Cur: 108.40W (S:7.08%) | Std: 74.67 | Best: 101.17W
Gen 80 (ES) | Pop: 128 | Sigma: 0.190 | Time: 36.47s | Cur: 122.85W (S:9.17%) | Std: 63.30 | Best: 101.17W
Gen 81 (ES) | Pop: 128 | Sigma: 0.194 | Time: 33.54s | Cur: 122.85W (S:7.50%) | Std: 5292.75 | Best: 101.17W
Gen 82 (ES) | Pop: 128 | Sigma: 0.198 | Time: 34.88s | Cur: 122.85W (S:7.50%) | Std: 60.40 | Best: 101.17W
Gen 83 (ES) | Pop: 128 | Sigma: 0.202 | Time: 34.78s | Cur: 101.17W (S:5.83%) | Std: 70.14 | Best: 101.17W
Gen 84 (ES) | Pop: 128 | Sigma: 0.206 | Time: 35.23s | Cur: 108.40W (S:7.50%) | Std: 62.01 | Best: 101.17W
Gen 85 (ES) | Pop: 128 | Sigma: 0.210 | Time: 34.30s | Cur: 108.40W (S:6.25%) | Std: 60.98 | Best: 101.17W
Gen 86 (ES) | Pop: 128 | Sigma: 0.214 | Time: 33.93s | Cur: 108.40W (S:7.50%) | Std: 60.62 | Best: 101.17W
Gen 87 (ES) | Pop: 128 | Sigma: 0.219 | Time: 38.06s | Cur: 101.17W (S:5.83%) | Std: 63.71 | Best: 101.17W
Gen 88 (ES) | Pop: 128 | Sigma: 0.223 | Time: 34.98s | Cur: 108.40W (S:6.25%) | Std: 51.40 | Best: 101.17W
Gen 89 (ES) | Pop: 128 | Sigma: 0.227 | Time: 33.92s | Cur: 101.17W (S:5.83%) | Std: 59.97 | Best: 101.17W
Gen 90 (ES) | Pop: 128 | Sigma: 0.232 | Time: 36.01s | Cur: 101.17W (S:6.25%) | Std: 56.94 | Best: 101.17W
Gen 91 (ES) | Pop: 128 | Sigma: 0.237 | Time: 34.25s | Cur: 101.17W (S:6.25%) | Std: 65.64 | Best: 101.17W
Gen 92 (ES) | Pop: 128 | Sigma: 0.241 | Time: 34.78s | Cur: 101.17W (S:5.83%) | Std: 61.63 | Best: 101.17W
Gen 93 (ES) | Pop: 128 | Sigma: 0.246 | Time: 37.86s | Cur: 101.17W (S:5.83%) | Std: 49.74 | Best: 101.17W
Gen 94 (ES) | Pop: 128 | Sigma: 0.250 | Time: 35.17s | Cur: 101.17W (S:7.08%) | Std: 54.78 | Best: 101.17W
Gen 95 (ES) | Pop: 128 | Sigma: 0.250 | Time: 35.34s | Cur: 108.40W (S:7.08%) | Std: 61.16 | Best: 101.17W
Gen 96 (ES) | Pop: 128 | Sigma: 0.250 | Time: 34.04s | Cur: 101.17W (S:5.83%) | Std: 53.25 | Best: 101.17W
Gen 97 (ES) | Pop: 128 | Sigma: 0.250 | Time: 35.32s | Cur: 101.17W (S:7.08%) | Std: 48.59 | Best: 101.17W
Gen 98 (ES) | Pop: 128 | Sigma: 0.250 | Time: 33.60s | Cur: 101.17W (S:5.83%) | Std: 49.27 | Best: 101.17W
Gen 99 (ES) | Pop: 128 | Sigma: 0.250 | Time: 37.41s | Cur: 108.40W (S:6.25%) | Std: 59.49 | Best: 101.17W
Gen 100 (ES) | Pop: 128 | Sigma: 0.250 | Time: 35.47s | Cur: 101.17W (S:5.83%) | Std: 47.71 | Best: 101.17W
Gen 101 (ES) | Pop: 128 | Sigma: 0.250 | Time: 35.48s | Cur: 101.17W (S:5.83%) | Std: 55.88 | Best: 101.17W
Gen 102 (ES) | Pop: 128 | Sigma: 0.250 | Time: 38.59s | Cur: 101.17W (S:5.83%) | Std: 56.68 | Best: 101.17W
Gen 103 (ES) | Pop: 128 | Sigma: 0.150 | Time: 32.76s | Cur: 130.07W (S:9.58%) | Std: 60.19 | Best: 101.17W
Gen 104 (ES) | Pop: 128 | Sigma: 0.153 | Time: 34.17s | Cur: 115.62W (S:7.08%) | Std: 61.49 | Best: 101.17W
Gen 105 (ES) | Pop: 128 | Sigma: 0.156 | Time: 34.17s | Cur: 130.07W (S:7.92%) | Std: 59.80 | Best: 101.17W
Gen 106 (ES) | Pop: 128 | Sigma: 0.159 | Time: 37.99s | Cur: 115.62W (S:7.08%) | Std: 45.74 | Best: 101.17W
Gen 107 (ES) | Pop: 128 | Sigma: 0.162 | Time: 34.65s | Cur: 115.62W (S:8.75%) | Std: 40.99 | Best: 101.17W
Gen 108 (ES) | Pop: 128 | Sigma: 0.166 | Time: 35.22s | Cur: 115.62W (S:7.50%) | Std: 51.00 | Best: 101.17W
Gen 109 (ES) | Pop: 128 | Sigma: 0.169 | Time: 36.34s | Cur: 115.62W (S:7.50%) | Std: 49.85 | Best: 101.17W
Gen 110 (ES) | Pop: 128 | Sigma: 0.172 | Time: 33.42s | Cur: 115.62W (S:7.92%) | Std: 54.03 | Best: 101.17W
Gen 111 (ES) | Pop: 128 | Sigma: 0.176 | Time: 38.46s | Cur: 108.40W (S:7.92%) | Std: 57.02 | Best: 101.17W
Gen 112 (ES) | Pop: 128 | Sigma: 0.179 | Time: 34.01s | Cur: 122.85W (S:9.17%) | Std: 57.77 | Best: 101.17W
Gen 113 (ES) | Pop: 128 | Sigma: 0.183 | Time: 36.35s | Cur: 115.62W (S:7.50%) | Std: 54.98 | Best: 101.17W
Gen 114 (ES) | Pop: 128 | Sigma: 0.187 | Time: 36.80s | Cur: 115.62W (S:7.92%) | Std: 54.86 | Best: 101.17W
Gen 115 (ES) | Pop: 128 | Sigma: 0.190 | Time: 34.88s | Cur: 115.62W (S:7.92%) | Std: 54.40 | Best: 101.17W
Gen 116 (ES) | Pop: 128 | Sigma: 0.194 | Time: 34.34s | Cur: 108.40W (S:9.17%) | Std: 41.57 | Best: 101.17W
Gen 117 (ES) | Pop: 128 | Sigma: 0.198 | Time: 34.79s | Cur: 115.62W (S:8.75%) | Std: 54.88 | Best: 101.17W
Gen 118 (ES) | Pop: 128 | Sigma: 0.202 | Time: 35.34s | Cur: 115.62W (S:7.50%) | Std: 42.39 | Best: 101.17W
Gen 119 (ES) | Pop: 128 | Sigma: 0.206 | Time: 34.57s | Cur: 115.62W (S:7.92%) | Std: 39.26 | Best: 101.17W
Gen 120 (ES) | Pop: 128 | Sigma: 0.210 | Time: 33.76s | Cur: 115.62W (S:7.50%) | Std: 53.38 | Best: 101.17W
Gen 121 (ES) | Pop: 128 | Sigma: 0.214 | Time: 34.67s | Cur: 108.40W (S:7.08%) | Std: 45.06 | Best: 101.17W
Gen 122 (ES) | Pop: 128 | Sigma: 0.219 | Time: 34.84s | Cur: 115.62W (S:8.33%) | Std: 42.27 | Best: 101.17W
Gen 123 (ES) | Pop: 128 | Sigma: 0.223 | Time: 35.55s | Cur: 108.40W (S:7.08%) | Std: 51.23 | Best: 101.17W
Gen 124 (ES) | Pop: 128 | Sigma: 0.227 | Time: 35.09s | Cur: 115.62W (S:7.92%) | Std: 42.18 | Best: 101.17W
Gen 125 (ES) | Pop: 128 | Sigma: 0.232 | Time: 35.37s | Cur: 108.40W (S:7.50%) | Std: 39.42 | Best: 101.17W
Gen 126 (ES) | Pop: 128 | Sigma: 0.237 | Time: 35.71s | Cur: 101.17W (S:6.67%) | Std: 46.68 | Best: 101.17W
Gen 127 (ES) | Pop: 128 | Sigma: 0.241 | Time: 34.62s | Cur: 108.40W (S:7.08%) | Std: 55.87 | Best: 101.17W
