--- OpenAI-ES Training Log for Bypass=True ---
Gen 60 (ES) | Pop: 128 | Sigma: 0.250 | Time: 45.07s | Cur: 2103.64W (S:36.90%) | Std: 64.63 | Best: 2080.00W
Gen 61 (ES) | Pop: 128 | Sigma: 0.250 | Time: 49.95s | Cur: 2103.64W (S:35.00%) | Std: 55.89 | Best: 2080.00W
Gen 62 (ES) | Pop: 128 | Sigma: 0.250 | Time: 48.94s | Cur: 2127.27W (S:38.57%) | Std: 58.86 | Best: 2080.00W
Gen 63 (ES) | Pop: 128 | Sigma: 0.250 | Time: 50.44s | Cur: 2127.27W (S:35.71%) | Std: 60.72 | Best: 2080.00W
Gen 64 (ES) | Pop: 128 | Sigma: 0.250 | Time: 50.07s | Cur: 2103.64W (S:36.19%) | Std: 62.58 | Best: 2080.00W
Gen 65 (ES) | Pop: 128 | Sigma: 0.250 | Time: 47.08s | Cur: 2127.27W (S:37.14%) | Std: 58.38 | Best: 2080.00W
Gen 66 (ES) | Pop: 128 | Sigma: 0.250 | Time: 47.47s | Cur: 2103.64W (S:35.71%) | Std: 55.87 | Best: 2080.00W
Gen 67 (ES) | Pop: 128 | Sigma: 0.150 | Time: 49.10s | Cur: 2174.55W (S:38.10%) | Std: 63.69 | Best: 2080.00W
Gen 68 (ES) | Pop: 128 | Sigma: 0.153 | Time: 49.26s | Cur: 2150.91W (S:37.14%) | Std: 70.91 | Best: 2080.00W
Gen 69 (ES) | Pop: 128 | Sigma: 0.156 | Time: 51.32s | Cur: 2150.91W (S:37.14%) | Std: 69.38 | Best: 2080.00W
Gen 70 (ES) | Pop: 128 | Sigma: 0.159 | Time: 49.72s | Cur: 2174.55W (S:38.81%) | Std: 58.61 | Best: 2080.00W
Gen 71 (ES) | Pop: 128 | Sigma: 0.162 | Time: 47.13s | Cur: 2150.91W (S:38.57%) | Std: 69.54 | Best: 2080.00W
Gen 72 (ES) | Pop: 128 | Sigma: 0.166 | Time: 47.85s | Cur: 2174.55W (S:40.95%) | Std: 63.37 | Best: 2080.00W
Gen 73 (ES) | Pop: 128 | Sigma: 0.169 | Time: 46.54s | Cur: 2174.55W (S:38.10%) | Std: 61.93 | Best: 2080.00W
Gen 74 (ES) | Pop: 128 | Sigma: 0.172 | Time: 46.63s | Cur: 2127.27W (S:38.57%) | Std: 68.86 | Best: 2080.00W
Gen 75 (ES) | Pop: 128 | Sigma: 0.176 | Time: 47.01s | Cur: 2127.27W (S:35.48%) | Std: 65.84 | Best: 2080.00W
Gen 76 (ES) | Pop: 128 | Sigma: 0.179 | Time: 45.25s | Cur: 2150.91W (S:36.43%) | Std: 66.34 | Best: 2080.00W
Gen 77 (ES) | Pop: 128 | Sigma: 0.183 | Time: 47.40s | Cur: 2174.55W (S:37.38%) | Std: 59.16 | Best: 2080.00W
Gen 78 (ES) | Pop: 128 | Sigma: 0.187 | Time: 45.72s | Cur: 2150.91W (S:38.33%) | Std: 55.89 | Best: 2080.00W
Gen 79 (ES) | Pop: 128 | Sigma: 0.190 | Time: 49.11s | Cur: 2150.91W (S:35.95%) | Std: 65.48 | Best: 2080.00W
Gen 80 (ES) | Pop: 128 | Sigma: 0.194 | Time: 47.37s | Cur: 2150.91W (S:38.10%) | Std: 61.89 | Best: 2080.00W
Gen 81 (ES) | Pop: 128 | Sigma: 0.198 | Time: 46.08s | Cur: 2150.91W (S:37.62%) | Std: 62.98 | Best: 2080.00W
Gen 82 (ES) | Pop: 128 | Sigma: 0.202 | Time: 48.82s | Cur: 2150.91W (S:38.10%) | Std: 62.33 | Best: 2080.00W
Gen 83 (ES) | Pop: 128 | Sigma: 0.206 | Time: 48.09s | Cur: 2127.27W (S:36.19%) | Std: 55.59 | Best: 2080.00W
Gen 84 (ES) | Pop: 128 | Sigma: 0.210 | Time: 52.33s | Cur: 2127.27W (S:36.43%) | Std: 63.49 | Best: 2080.00W
Gen 85 (ES) | Pop: 128 | Sigma: 0.214 | Time: 49.72s | Cur: 2150.91W (S:37.14%) | Std: 64.21 | Best: 2080.00W
Gen 86 (ES) | Pop: 128 | Sigma: 0.219 | Time: 56.23s | Cur: 2103.64W (S:36.67%) | Std: 65.09 | Best: 2080.00W
Gen 87 (ES) | Pop: 128 | Sigma: 0.223 | Time: 47.32s | Cur: 2127.27W (S:38.10%) | Std: 67.77 | Best: 2080.00W
Gen 88 (ES) | Pop: 128 | Sigma: 0.227 | Time: 48.58s | Cur: 2174.55W (S:36.67%) | Std: 65.61 | Best: 2080.00W
Gen 89 (ES) | Pop: 128 | Sigma: 0.232 | Time: 46.82s | Cur: 2150.91W (S:36.43%) | Std: 60.70 | Best: 2080.00W
Gen 90 (ES) | Pop: 128 | Sigma: 0.237 | Time: 45.24s | Cur: 2103.64W (S:36.90%) | Std: 65.47 | Best: 2080.00W
Gen 91 (ES) | Pop: 128 | Sigma: 0.241 | Time: 47.70s | Cur: 2103.64W (S:36.43%) | Std: 169.00 | Best: 2080.00W
Gen 92 (ES) | Pop: 128 | Sigma: 0.246 | Time: 49.89s | Cur: 2127.27W (S:37.62%) | Std: 123.01 | Best: 2080.00W
Gen 93 (ES) | Pop: 128 | Sigma: 0.250 | Time: 48.33s | Cur: 2127.27W (S:38.10%) | Std: 55.67 | Best: 2080.00W
Gen 94 (ES) | Pop: 128 | Sigma: 0.250 | Time: 49.13s | Cur: 2103.64W (S:38.57%) | Std: 61.96 | Best: 2080.00W
Gen 95 (ES) | Pop: 128 | Sigma: 0.250 | Time: 47.76s | Cur: 2127.27W (S:36.90%) | Std: 57.14 | Best: 2080.00W
Gen 96 (ES) | Pop: 128 | Sigma: 0.250 | Time: 44.32s | Cur: 2150.91W (S:36.90%) | Std: 62.61 | Best: 2080.00W
Gen 97 (ES) | Pop: 128 | Sigma: 0.250 | Time: 46.14s | Cur: 2103.64W (S:39.29%) | Std: 67.09 | Best: 2080.00W
Gen 98 (ES) | Pop: 128 | Sigma: 0.250 | Time: 48.80s | Cur: 2103.64W (S:37.62%) | Std: 65.17 | Best: 2080.00W
Gen 99 (ES) | Pop: 128 | Sigma: 0.250 | Time: 47.74s | Cur: 2127.27W (S:35.48%) | Std: 63.63 | Best: 2080.00W
Gen 100 (ES) | Pop: 128 | Sigma: 0.250 | Time: 39.66s | Cur: 2127.27W (S:37.38%) | Std: 61.22 | Best: 2080.00W
