--- OpenAI-ES Training Log for Bypass=True ---
Gen 55 (ES) | Pop: 128 | Sigma: 0.221 | Time: 24.51s | Cur: 72.26W (S:4.17%) | Std: 37.78 | Best: 72.26W
Gen 56 (ES) | Pop: 128 | Sigma: 0.225 | Time: 24.66s | Cur: 72.26W (S:4.17%) | Std: 23.60 | Best: 72.26W
Gen 57 (ES) | Pop: 128 | Sigma: 0.230 | Time: 24.99s | Cur: 72.26W (S:4.17%) | Std: 26.60 | Best: 72.26W
Gen 58 (ES) | Pop: 128 | Sigma: 0.234 | Time: 25.68s | Cur: 72.26W (S:4.17%) | Std: 30.99 | Best: 72.26W
Gen 59 (ES) | Pop: 128 | Sigma: 0.239 | Time: 24.72s | Cur: 72.26W (S:4.17%) | Std: 41.53 | Best: 72.26W
Gen 60 (ES) | Pop: 128 | Sigma: 0.244 | Time: 24.70s | Cur: 72.26W (S:4.17%) | Std: 32.16 | Best: 72.26W
Gen 61 (ES) | Pop: 128 | Sigma: 0.249 | Time: 24.65s | Cur: 72.26W (S:4.17%) | Std: 33.71 | Best: 72.26W
Gen 62 (ES) | Pop: 128 | Sigma: 0.250 | Time: 24.72s | Cur: 72.26W (S:4.17%) | Std: 36.26 | Best: 72.26W
Gen 63 (ES) | Pop: 128 | Sigma: 0.250 | Time: 25.11s | Cur: 72.26W (S:4.17%) | Std: 46.19 | Best: 72.26W
Gen 64 (ES) | Pop: 128 | Sigma: 0.250 | Time: 24.82s | Cur: 72.26W (S:4.17%) | Std: 48.28 | Best: 72.26W
Gen 65 (ES) | Pop: 128 | Sigma: 0.250 | Time: 24.86s | Cur: 72.26W (S:4.17%) | Std: 46.21 | Best: 72.26W
Gen 66 (ES) | Pop: 128 | Sigma: 0.250 | Time: 25.17s | Cur: 72.26W (S:4.17%) | Std: 32.43 | Best: 72.26W
Gen 67 (ES) | Pop: 128 | Sigma: 0.250 | Time: 25.06s | Cur: 72.26W (S:4.17%) | Std: 36.69 | Best: 72.26W
Gen 68 (ES) | Pop: 128 | Sigma: 0.250 | Time: 24.75s | Cur: 72.26W (S:4.17%) | Std: 38.11 | Best: 72.26W
Gen 69 (ES) | Pop: 128 | Sigma: 0.250 | Time: 24.89s | Cur: 72.26W (S:4.17%) | Std: 32.06 | Best: 72.26W
Gen 70 (ES) | Pop: 128 | Sigma: 0.150 | Time: 21.88s | Cur: 158.98W (S:17.92%) | Std: 61.41 | Best: 72.26W
Gen 71 (ES) | Pop: 128 | Sigma: 0.153 | Time: 21.66s | Cur: 137.30W (S:10.00%) | Std: 62.49 | Best: 72.26W
Gen 72 (ES) | Pop: 128 | Sigma: 0.156 | Time: 23.94s | Cur: 93.94W (S:7.92%) | Std: 74.75 | Best: 72.26W
Gen 73 (ES) | Pop: 128 | Sigma: 0.159 | Time: 23.44s | Cur: 86.72W (S:5.83%) | Std: 70.00 | Best: 72.26W
Gen 74 (ES) | Pop: 128 | Sigma: 0.162 | Time: 23.37s | Cur: 93.94W (S:7.50%) | Std: 69.09 | Best: 72.26W
Gen 75 (ES) | Pop: 128 | Sigma: 0.166 | Time: 24.79s | Cur: 79.49W (S:6.67%) | Std: 71.50 | Best: 72.26W
Gen 76 (ES) | Pop: 128 | Sigma: 0.169 | Time: 24.18s | Cur: 86.72W (S:5.00%) | Std: 57.13 | Best: 72.26W
