--- OpenAI-ES Training Log for Bypass=True ---
Gen 80 (ES) | Pop: 128 | Sigma: 0.162 | Time: 232.67s | Cur: 174.64W (S:7.86%) | Std: 31.46 | Best: 66.24W
Gen 81 (ES) | Pop: 128 | Sigma: 0.166 | Time: 241.93s | Cur: 108.40W (S:4.29%) | Std: 41.58 | Best: 66.24W
Gen 82 (ES) | Pop: 128 | Sigma: 0.169 | Time: 239.99s | Cur: 108.40W (S:5.00%) | Std: 44.47 | Best: 66.24W
Gen 83 (ES) | Pop: 128 | Sigma: 0.172 | Time: 243.70s | Cur: 66.24W (S:2.62%) | Std: 54.01 | Best: 66.24W
Gen 84 (ES) | Pop: 128 | Sigma: 0.176 | Time: 247.95s | Cur: 84.31W (S:3.33%) | Std: 48.03 | Best: 66.24W
Gen 85 (ES) | Pop: 128 | Sigma: 0.179 | Time: 250.10s | Cur: 72.26W (S:2.86%) | Std: 45.88 | Best: 66.24W
Gen 86 (ES) | Pop: 128 | Sigma: 0.183 | Time: 252.59s | Cur: 66.24W (S:2.62%) | Std: 51.48 | Best: 66.24W
Gen 87 (ES) | Pop: 128 | Sigma: 0.187 | Time: 270.73s | Cur: 66.24W (S:2.62%) | Std: 46.14 | Best: 66.24W
Gen 88 (ES) | Pop: 128 | Sigma: 0.190 | Time: 268.83s | Cur: 66.24W (S:2.62%) | Std: 41.57 | Best: 66.24W
Gen 89 (ES) | Pop: 128 | Sigma: 0.194 | Time: 271.44s | Cur: 66.24W (S:2.62%) | Std: 41.74 | Best: 66.24W
Gen 90 (ES) | Pop: 128 | Sigma: 0.198 | Time: 278.55s | Cur: 66.24W (S:2.62%) | Std: 31.73 | Best: 66.24W
Gen 91 (ES) | Pop: 128 | Sigma: 0.202 | Time: 279.89s | Cur: 66.24W (S:2.62%) | Std: 31.28 | Best: 66.24W
Gen 92 (ES) | Pop: 128 | Sigma: 0.206 | Time: 279.86s | Cur: 66.24W (S:2.62%) | Std: 32.70 | Best: 66.24W
Gen 93 (ES) | Pop: 128 | Sigma: 0.210 | Time: 271.93s | Cur: 66.24W (S:2.62%) | Std: 34.09 | Best: 66.24W
Gen 94 (ES) | Pop: 128 | Sigma: 0.214 | Time: 278.31s | Cur: 66.24W (S:2.62%) | Std: 50.14 | Best: 66.24W
Gen 95 (ES) | Pop: 128 | Sigma: 0.219 | Time: 281.29s | Cur: 66.24W (S:2.62%) | Std: 44.67 | Best: 66.24W
Gen 96 (ES) | Pop: 128 | Sigma: 0.223 | Time: 273.44s | Cur: 66.24W (S:2.62%) | Std: 48.00 | Best: 66.24W
Gen 97 (ES) | Pop: 128 | Sigma: 0.227 | Time: 269.72s | Cur: 66.24W (S:2.62%) | Std: 50.22 | Best: 66.24W
Gen 98 (ES) | Pop: 128 | Sigma: 0.232 | Time: 278.33s | Cur: 66.24W (S:2.62%) | Std: 51.12 | Best: 66.24W
Gen 99 (ES) | Pop: 128 | Sigma: 0.237 | Time: 275.05s | Cur: 66.24W (S:2.62%) | Std: 45.43 | Best: 66.24W
Gen 100 (ES) | Pop: 128 | Sigma: 0.241 | Time: 278.92s | Cur: 66.24W (S:2.62%) | Std: 47.33 | Best: 66.24W
Gen 101 (ES) | Pop: 128 | Sigma: 0.246 | Time: 275.61s | Cur: 66.24W (S:2.62%) | Std: 38.75 | Best: 66.24W
Gen 102 (ES) | Pop: 128 | Sigma: 0.250 | Time: 283.97s | Cur: 66.24W (S:2.62%) | Std: 38.63 | Best: 66.24W
Gen 103 (ES) | Pop: 128 | Sigma: 0.250 | Time: 284.76s | Cur: 66.24W (S:2.62%) | Std: 32.91 | Best: 66.24W
Gen 104 (ES) | Pop: 128 | Sigma: 0.250 | Time: 282.69s | Cur: 66.24W (S:2.62%) | Std: 29.92 | Best: 66.24W
Gen 105 (ES) | Pop: 128 | Sigma: 0.250 | Time: 286.85s | Cur: 66.24W (S:2.62%) | Std: 26.88 | Best: 66.24W
Gen 106 (ES) | Pop: 128 | Sigma: 0.250 | Time: 283.32s | Cur: 66.24W (S:2.62%) | Std: 28.31 | Best: 66.24W
Gen 107 (ES) | Pop: 128 | Sigma: 0.250 | Time: 279.91s | Cur: 66.24W (S:2.62%) | Std: 22.81 | Best: 66.24W
Gen 108 (ES) | Pop: 128 | Sigma: 0.250 | Time: 282.19s | Cur: 66.24W (S:2.62%) | Std: 21.97 | Best: 66.24W
Gen 109 (ES) | Pop: 128 | Sigma: 0.250 | Time: 281.61s | Cur: 66.24W (S:2.62%) | Std: 27.89 | Best: 66.24W
Gen 110 (ES) | Pop: 128 | Sigma: 0.250 | Time: 286.41s | Cur: 66.24W (S:2.62%) | Std: 29.46 | Best: 66.24W
Gen 111 (ES) | Pop: 128 | Sigma: 0.150 | Time: 254.35s | Cur: 90.33W (S:3.57%) | Std: 54.43 | Best: 66.24W
Gen 112 (ES) | Pop: 128 | Sigma: 0.153 | Time: 255.84s | Cur: 72.26W (S:2.86%) | Std: 53.88 | Best: 66.24W
Gen 113 (ES) | Pop: 128 | Sigma: 0.156 | Time: 268.92s | Cur: 78.29W (S:3.10%) | Std: 42.21 | Best: 66.24W
Gen 114 (ES) | Pop: 128 | Sigma: 0.159 | Time: 278.06s | Cur: 66.24W (S:2.62%) | Std: 33.89 | Best: 66.24W
Gen 115 (ES) | Pop: 128 | Sigma: 0.162 | Time: 276.12s | Cur: 66.24W (S:2.62%) | Std: 27.78 | Best: 66.24W
Gen 116 (ES) | Pop: 128 | Sigma: 0.166 | Time: 273.33s | Cur: 72.26W (S:2.86%) | Std: 36.80 | Best: 66.24W
Gen 117 (ES) | Pop: 128 | Sigma: 0.169 | Time: 265.02s | Cur: 66.24W (S:2.62%) | Std: 44.62 | Best: 66.24W
Gen 118 (ES) | Pop: 128 | Sigma: 0.172 | Time: 273.08s | Cur: 66.24W (S:2.62%) | Std: 43.38 | Best: 66.24W
Gen 119 (ES) | Pop: 128 | Sigma: 0.176 | Time: 281.42s | Cur: 66.24W (S:2.62%) | Std: 44.42 | Best: 66.24W
Gen 120 (ES) | Pop: 128 | Sigma: 0.179 | Time: 277.60s | Cur: 66.24W (S:2.62%) | Std: 43.73 | Best: 66.24W
Gen 121 (ES) | Pop: 128 | Sigma: 0.183 | Time: 270.22s | Cur: 66.24W (S:2.62%) | Std: 46.54 | Best: 66.24W
Gen 122 (ES) | Pop: 128 | Sigma: 0.187 | Time: 277.64s | Cur: 66.24W (S:2.62%) | Std: 35.61 | Best: 66.24W
Gen 123 (ES) | Pop: 128 | Sigma: 0.190 | Time: 273.52s | Cur: 66.24W (S:2.62%) | Std: 34.97 | Best: 66.24W
Gen 124 (ES) | Pop: 128 | Sigma: 0.194 | Time: 269.84s | Cur: 66.24W (S:2.62%) | Std: 36.52 | Best: 66.24W
