[Bypass] Ep 66 | Reward: -143.06 | Power: 714.91W | Spec: 0.1500 | Loss: -0.0126 | Ent: 0.0088 | 7.5s
[Bypass] Ep 67 | Reward: -139.72 | Power: 698.25W | Spec: 0.1375 | Loss: -0.0126 | Ent: 0.0088 | 6.9s
[Bypass] Ep 68 | Reward: -139.72 | Power: 698.25W | Spec: 0.1375 | Loss: -0.0126 | Ent: 0.0088 | 7.9s
[Bypass] Ep 69 | Reward: -139.72 | Power: 698.25W | Spec: 0.1375 | Loss: -0.0126 | Ent: 0.0088 | 7.8s
[Bypass] Ep 70 | Reward: -139.73 | Power: 698.25W | Spec: 0.1500 | Loss: -0.0111 | Ent: 0.0088 | 52.2s
[Bypass] Ep 71 | Reward: -132.17 | Power: 660.36W | Spec: 0.1875 | Loss: -0.0111 | Ent: 0.0087 | 8.2s
[Bypass] Ep 72 | Reward: -132.17 | Power: 660.36W | Spec: 0.1875 | Loss: -0.0111 | Ent: 0.0087 | 8.3s
[Bypass] Ep 73 | Reward: -132.17 | Power: 660.36W | Spec: 0.1875 | Loss: -0.0111 | Ent: 0.0087 | 7.6s
[Bypass] Ep 74 | Reward: -132.17 | Power: 660.36W | Spec: 0.1875 | Loss: -0.0111 | Ent: 0.0087 | 7.9s
[Bypass] Ep 75 | Reward: -139.73 | Power: 698.25W | Spec: 0.1583 | Loss: -0.0118 | Ent: 0.0087 | 61.2s
[Bypass] Ep 76 | Reward: -132.17 | Power: 660.36W | Spec: 0.1875 | Loss: -0.0118 | Ent: 0.0086 | 7.1s
[Bypass] Ep 77 | Reward: -132.17 | Power: 660.36W | Spec: 0.1875 | Loss: -0.0118 | Ent: 0.0086 | 7.3s
[Bypass] Ep 78 | Reward: -132.17 | Power: 660.36W | Spec: 0.1875 | Loss: -0.0118 | Ent: 0.0086 | 8.0s
[Bypass] Ep 79 | Reward: -132.17 | Power: 660.36W | Spec: 0.1875 | Loss: -0.0118 | Ent: 0.0086 | 7.9s
